Year;Artist;Album;Worldwide Sales (Est.);Genre
2019;Arashi;5x20 All The Best!! 1999-2019;3,300,000;Pop
2017;Elton John;Diamonds;3,220,000;Rock
2015;Broadway Soundtrack;Hamilton;4,835,000;Hip Hop
2018;BTS;Love Yourself: Answer;4,866,789;Pop
2021;Morgan Wallen;Dangerous: The Double Album;3,461,000;Country
2018;Drake;Scorpion;6,133,983;Hip Hop
2021;Drake;Certified Lover Boy;2,264,500;Hip Hop
2016;Drake;Views;7,657,000;Hip Hop
2018;Movie Soundtrack;Bohemian Rhapsody;2,585,920;Rock
2016;Movie Soundtrack;Moana;2,727,078;Pop
2020;BTS;Map Of The Soul: 7;6,829,450;Pop
2018;Movie Soundtrack;A Star Is Born;4,050,810;Pop
2016;The Weeknd;Starboy;4,421,666;R&B
2015;The Weeknd;Beauty Behind The Madness;5,299,588;R&B
2014;J. Cole;2014 Forest Hills Drive;3,230,000;Hip Hop
2018;Post Malone;Beerbongs & Bentleys;6,636,118;Hip Hop
2020;Taylor Swift;Folklore;4,115,487;Pop
2015;Chris Stapleton;Traveller;4,147,000;Country
2019;Taylor Swift;Lover;4,787,733;Pop
2020;Lil Baby;My Turn;3,920,000;Hip Hop
2019;Luke Combs;What You See Is What You Get;3,357,000;Country
2020;Juice Wrld;Legends Never Die;3,045,000;Hip Hop
2018;Travis Scott;Astroworld;4,907,811;Hip Hop
2021;Adele;30;4,485,025;Pop
2020;Pop Smoke;Shoot For The Stars, Aim For The Moon;4,777,389;Hip Hop
2020;The Weeknd;After House;4,402,942;R&B
2017;Taylor Swift;Reputation;5,746,523;Pop
2017;Kendrick Lamar;Damn.;4,070,414;Hip Hop
2017;Khalid;American Teen;3,681,211;R&B
2014;Hozier;Hozier;4,413,503;Blues
2015;Twenty One Pilots;Blurryface;6,500,000;Hip Hop
2019;Post Malone;Hollywood's Bleeding;6,243,665;Hip Hop
2016;Post Malone;Stoney;6,111,355;Hip Hop
2014;Ed Sheeran;Multiply;11,879,785;Pop
2019;Ed Sheeran;No. 6 Collaborations Project;2,551,838;Pop
2014;Taylor Swift;1989;14,332,116;Pop
2015;Adele;25;23,000,000;Pop
2018;Cardi B;Invasion Of Privacy;3,376,138;Hip Hop
2015;Justin Bieber;Purpose;14,000,000;Pop
2016;Chris Lee;Growing Wild;3,418,440;Pop
2019;Harry Styles;Fine Line;3,646,799;Pop
2017;Ed Sheeran;Divide;13,430,805;Pop
2016;Beyonce;Lemonade;3,661,560;Pop
2015;Coldplay;A Head Full Of Dreams;6,000,000;Rock
2021;Justin Bieber;Justice;3,051,131;Pop
2017;Bryson Tiller;Trapsoul;3,190,000;R&B
2015;One Direction;Made In The A.M.;3,376,423;Pop
2014;Movie Soundtrack;Guardians Of The Galaxy;3,186,458;Rock
2021;Doja Cat;Planet Her;1,909,009;Pop
2018;BTS;Love Yourself: Tear;3,363,039;Pop
2016;Rihanna;Anti;4,207,235;Pop
2014;One Direction;Four;3,200,000;Pop
2017;Luke Combs;This One's For You;3,371,000;Country
2014;Coldplay;Ghost Stories;3,700,000;Rock
2019;Ariana Grande;Thank U, Next;3,665,436;Pop
2019;Billie Eilish;When We All Fall Asleep, Where Do We Go?;6,031,516;Pop
2016;Big Bang;Made;3,189,149;Pop
2014;Ariana Grande;My Everything;3,346,212;Pop
2018;Juice Wrld;Goodbye & Good Riddance;3,522,713;Hip Hop
2014;Maroon 5;V;4,230,464;Pop
2017;Movie Soundtrack;The Greatest Showman;6,295,619;Pop
2016;Ariana Grande;Dangerous Woman;3,462,374;Pop
2015;Sean Mendes;Handwritten;2,655,000;Pop
2017;Imagine Dragons;Evolve;4,790,478;Rock
2021;NCT 127;Sticker / Favorite;3,498,564;Pop
2018;XXXTentacion;?;3,932,852;Hip Hop
2020;Dua Lipa;Future Nostalgia;3,332,300;Pop
2020;Lay;Lit;2,741,096;Hip Hop
2021;NCT Dream;Hot Sauce;3,633,287;Pop
2021;Olivia Rodrigo;Sour;3,830,500;Pop
2016;Bruno Mars;24k Magic;4,170,954;Pop
2014;Sam Smith;In The Lonely Hour;9,216,352;Pop
2015;Meghan Trainor;Title;3,885,000;Pop
2017;BTS;Love Yourself: Her;3,091,731;Pop
2020;BTS;Be;5,397,015;Pop
2019;BTS;Map Of The Soul: Persona;5,670,554;Pop
2019;R1SE;Going To Powerfully Burst;3,080,507;Pop
2020;Blackpink;The Album;2,947,398;Pop
2021;Cai Xukun;迷;3,402,981;Hip Hop
2021;Seventeen;Attacca;2,401,368;Pop
